"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ETEKI9QW","journalArticle","2021","Follmann, A.; Schollemann, F.; Arnolds, A.; Weismann, P.; Laurentius, T.; Rossaint, R.; Czaplik, M.","Reducing loneliness in stationary geriatric care with robots and virtual encounters—a contribution to the covid-19 pandemic","International Journal of Environmental Research and Public Health","","1661-7827","10.3390/ijerph18094846","","The bans on visiting nursing homes during the COVID-19 pandemic, while intended to protect residents, also have the risk of increasing the loneliness and social isolation that already existed among the older generations before the pandemic. To combat loneliness and social isolation in nursing homes, this trial presents a study during which social networks of nursing home residents and elderly hospital patients were maintained through virtual encounters and robots, respectively. The observational trial included volunteers who were either residents of nursing homes or patients in a geriatric hospital. Each volunteer was asked to fill in a questionnaire containing three questions to measure loneliness. The questionnaire also documented whether video telephony via the robot, an alternative contact option (for example, a phone call), or no contact with relatives had taken place. The aim was to work out the general acceptance and the benefits of virtual encounters using robots for different roles (users, relatives, nursing staff, facilities). Seventy volunteers with three possible interventions (non-contact, virtual encounters by means of a robot, and any other contact) took part in this trial. The frequency of use of the robot increased steadily over the course of the study, and it was regularly used in all facilities during the weeks of visitor bans (n = 134 times). In the hospital, loneliness decreased significantly among patients for whom the robot was used to provide contact (F(1,25) = 7.783, p = 0.01). In the nursing homes, no demonstrable effect could be achieved in this way, although the subject feedback from the users was consistently positive. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","2021","2024-04-17 08:56:38","2024-05-04 13:05:48","","","","9","18","","","","","","","","","","English","","","Scopus","","Scopus","","","<p>Cited By :27</p>","/Users/isabel/Zotero/storage/9A9RV48G/Follmann et al. - 2021 - Reducing loneliness in stationary geriatric care w.pdf; /Users/isabel/Zotero/storage/RU4GB7EN/display.html","","read; included","Robotics; COVID-19; Social isolation; Loneliness; Bans on visitors; Video telephony","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8V8JI4R","conferencePaper","2022","Wilson, R.; Keane, I.; Jones, R.","Affective Responses of Older Adults to the Anthropomorphic GenieConnect Companion Robot During Lockdown of the COVID19 Pandemic","","978-1-5386-8554-9","","10.1109/HRI53351.2022.9889480","","Anthropomorphic robots may reduce loneliness in older people, however, acceptance is requisite for adoption. We collected the experiences of 10 people aged 80-92 who used a pre-market social robot, GenieConnect, for between 2 to 35 days during the COVID19 pandemic restrictions. GenieConnect is a table-top robot with a large face and animated eyes, designed for support and companionship. The robot asked 'how are you feeling, Name' each day and delivered lifestyle prompts such as medication reminders. We observed conflicting responses from participants - five expressed positive responses, three negative (two of these withdrew) and two neutral. Positive comments included 'feeling not alone'; 'having someone to talk to'; and enjoying being asked 'how are you feeling'. Negative comments were mainly related to not liking the eyes. Design adaptations were made to increase acceptance. We conclude that robots like GenieConnect could reduce loneliness when a user-centred design approach is taken. © 2022 IEEE.","2022","2024-04-17 08:58:57","2024-05-03 14:36:49","","1095-1099","","","2022-March","","","","","","","","","","English","","","Scopus","","Scopus","","ISSN: 2167-2148","","/Users/isabel/Zotero/storage/LKN8RH75/Wilson et al. - 2022 - Affective Responses of Older Adults to the Anthrop.pdf","","read; included","Human robot interaction; companion robot; loneliness; robot acceptance; senior adults","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACM/IEEE International Conference on Human-Robot Interaction","","","","","","","","","","","","","","",""
"ERE7TGC4","journalArticle","2023","Zhang, L.; Han, Y.; Fang, Y.","Non-human and human service efficiency of long-term care facilities in China","Frontiers in Public Health","","2296-2565","10.3389/fpubh.2023.1066190","","Introduction: Care services provided by long-term care facilities (LTCFs) are currently plagued by care resource shortages and insufficient utilization. The analysis on the temporal and spatial distribution of human resources and non-human resources in LTCFs, could provide a basis to optimize resource allocation and efficient use of limited resources. Methods: This study used data envelopment analysis to comprehensively evaluate the efficiency of human and non-human resources in different time spans and regions. The spatial Markov chain and spatial correlation were also applied to explore the heterogeneity of and correlation between the service efficiency of LTCFs in different regions and then analyzes the influencing factors of efficiency using Tobit regression model. Results: The quantitative changes in the service efficiency of LTCFs in various provinces showed a “W” shape in two periods, ranging from 0.8 to 1.6. The overall efficiency of LTCFs in different regions had a lower probability to achieve short-term cross-stage development. Non-human resource efficiency presented a “cluster” distribution mode, demonstrating a great probability to achieve cross-stage development, which might be due to the regional disparities of economic development and land resource. Tobit regression analysis results also showed that the comprehensive efficiency of LTCFs decreases by 0.210 for every square increase in construction space variation. However, human resource efficiency had a significant spatial polarization, making it difficult to develop area linkages. The reason for this might be the nursing staff have relatively stable regional characteristics, weakening the inter-provincial spatial connection. We also found that female workers, aged between 35 and 45 can positively affect the efficiency of LTCFs. Those staff stay focused and improve their skills, which might improve the efficiency of LTCFs. So improving technology and service quality changes by increasing female workers, aged between 35 and 45, and avoiding excessive construction space changes can enhance the growth of service quality and personnel stability of LTCFs. Conclusion: There is an urgent trade-off among staff quality improvement, resource reduction, construction excessive and substantial regional variation in efficiency. Therefore, strengthening policy support to encourage inter-regional initiatives, particularly highlighting the development of human resources interaction and common development is urgent. Copyright © 2023 Zhang, Han and Fang.","2023","2024-04-17 09:00:53","2024-05-01 15:45:12","","","","","11","","","","","","","","","","English","","","Scopus","","Scopus","","","<p>Cited By :1</p>","/Users/isabel/Zotero/storage/26RITMTS/Zhang et al. - 2023 - Non-human and human service efficiency of long-ter.pdf; /Users/isabel/Zotero/storage/JMXFL7TU/display.html","","read; included","long-term care facilities; data envelopment analysis; non-human and human efficiency; service efficiency; spatial Markov chain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HY7DV3R","journalArticle","2021","Tulsulkar, G.; Mishra, N.; Thalmann, N.M.; Lim, H.E.; Lee, M.P.; Cheng, S.K.","Can a humanoid social robot stimulate the interactivity of cognitively impaired elderly? A thorough study based on computer vision methods","Visual Computer","","0178-2789","10.1007/s00371-021-02242-y","","Social Assistive Robotics is increasingly being used in care settings to provide psychosocial support and interventions for the elderly with cognitive impairments. Most of these social robots have provided timely stimuli to the elderly at home and in care centres, including keeping them active and boosting their mood. However, previous investigations have registered shortcomings in these robots, particularly in their ability to satisfy an essential human need: the need for companionship. Reports show that the elderly tend to lose interests in these social robots after the initial excitement as the novelty wears out and the monotonous familiarity becomes all too familiar. This paper presents our research facilitating conversations between a social humanoid robot, Nadine, and cognitively impaired elderly at a nursing home. We analysed the effectiveness of human–humanoid interactions between our robot and 14 elderly over 29 sessions. We used both objective tools (based on computer vision methods) and subjective tools (based on observational scales) to evaluate the recorded videos. Our findings showed that our subjects engaged positively with Nadine, suggesting that their interaction with the robot could improve their well-being by compensating for some of their emotional, cognitive, and psychosocial deficiencies. We detected emotions associated with cognitively impaired elderly during these interactions. This study could help understand the expectations of the elderly and the current limitations of Social Assistive Robots. Our research is aligned with all the ethical recommendations by the NTU Institutional Review Board. © 2021, The Author(s).","2021","2024-04-17 09:01:19","2024-05-04 12:21:26","","3019-3038","","12","37","","","Can a humanoid social robot stimulate the interactivity of cognitively impaired elderly?","","","","","","","English","","","Scopus","","Scopus","","","<p>Cited By :13</p>; <div data-schema-version=""8""><p>quantifiable tools to record user engagement (MPES and OERS)</p> </div>","/Users/isabel/Zotero/storage/4K5XN5W4/Tulsulkar et al. - 2021 - Can a humanoid social robot stimulate the interact.pdf; /Users/isabel/Zotero/storage/5DY949HM/display.html","","read; included","Computer vision; Social robots; Human–humanoid interaction; Observational scales; Robot companions; Social Assistive Robotics (SAR); Social intelligence for Robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V2HQ8ALG","journalArticle","2023","Schönmann, Manuela; Bodenschatz, Anja; Uhl, Matthias; Walkowitz, Gari","The Care-Dependent are Less Averse to Care Robots: An Empirical Comparison of Attitudes","International Journal of Social Robotics","","1875-4805","10.1007/s12369-023-01003-2","https://doi.org/10.1007/s12369-023-01003-2","A growing gap is emerging between the supply of and demand for professional caregivers, not least because of the ever-increasing average age of the world’s population. One strategy to address this growing gap in many regions is the use of care robots. Although there have been numerous ethical debates about the use of robots in nursing and elderly care, an important question remains unexamined: how do the potential recipients of such care perceive situations with care robots compared to situations with human caregivers? Using a large-scale experimental vignette study, we investigated people’s affective attitudes toward care robots. Specifically, we studied the influence of the caregiver’s nature on participants’ perceived comfort levels when confronted with different care scenarios in nursing homes. Our results show that the care-robot-related views of actual care recipients (i.e., people who are already affected by care dependency) differ substantially from the views of people who are not affected by care dependency. Those who do not (yet) rely on care placed care robots’ value far below that of human caregivers, especially in a service-oriented care scenario. This devaluation was not found among care recipients, whose perceived level of comfort was not influenced by the caregiver’s nature. These findings also proved robust when controlled for people’s gender, age, and general attitudes toward robots.","2023-06-01","2024-04-17 09:02:19","2024-05-04 16:39:11","2024-04-17 09:02:19","1007-1024","","6","15","","Int J of Soc Robotics","The Care-Dependent are Less Averse to Care Robots","","","","","","","en","","","","","Springer Link","","","","/Users/isabel/Zotero/storage/332P9ZM3/Schönmann et al. - 2023 - The Care-Dependent are Less Averse to Care Robots.pdf","","read; included","Nursing care; Affective attitudes; Care robots; Robot aversion; Vignette experiment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5DDGA5S","journalArticle","2022","Davitt, J.K.; Brown, J.","Using Voice and Touchscreen Controlled Smart Speakers to Protect Vulnerable Clients in Long-Term Care Facilities","Innovation in Aging","","2399-5300","10.1093/geroni/igac024","","Background and Objectives: The Centers for Medicare and Medicaid Services restricted long-term care facility visitation to only essential personnel during the coronavirus disease 2019 pandemic. The Maryland Department of Human Services distributed Amazon Echoshow 8 voice and touchscreen controlled smart speakers (VTCSS) to a sample of their institutionalized guardianship clients to enhance caseworker access during the pandemic. Research Design and Methods: This pilot study focused on understanding VTCSS use challenges and the effects on clients' safety and well-being. Two focus groups were conducted with caseworkers (N = 16) who piloted the devices. The interviews were recorded, transcribed, and analyzed using open and axial coding. Results: Four themes were identified, including challenges to providing casework during the pandemic (e.g., facility technology gaps), challenges to device installation and use (e.g., privacy concerns), strategies for overcoming challenges (e.g., alert features), and benefits (e.g., stimulation, care monitoring) and uses (e.g., enhanced access, entertainment). Discussion and Implications: VTCSS show great promise to engage the client, maintain visual access, and monitor quality of care. However, facilitating access to such technology requires planning and training before installation. © 2022 The Author(s). Published by Oxford University Press on behalf of The Gerontological Society of America.","2022","2024-04-17 09:02:38","2024-05-03 16:40:39","","","","4","6","","","","","","","","","","English","","","Scopus","","Scopus","","","<p>Cited By :4</p>","/Users/isabel/Zotero/storage/VSHV5SPI/Davitt and Brown - 2022 - Using Voice and Touchscreen Controlled Smart Speak.pdf; /Users/isabel/Zotero/storage/LTYN8NRG/display.html","","read; included","Residential care; Technology; COVID-19 pandemic; Guardianship; Vulnerable adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZVJZ88HJ","journalArticle","2022","Papadopoulos, Chris; Castro, Nina; Nigath, Abiha; Davidson, Rosemary; Faulkes, Nicholas; Menicatti, Roberto; Khaliq, Ali Abdul; Recchiuto, Carmine; Battistuzzi, Linda; Randhawa, Gurch; Merton, Len; Kanoria, Sanjeev; Chong, Nak-Young; Kamide, Hiroko; Hewson, David; Sgorbissa, Antonio","The CARESSES Randomised Controlled Trial: Exploring the Health-Related Impact of Culturally Competent Artificial Intelligence Embedded Into Socially Assistive Robots and Tested in Older Adult Care Homes","International Journal of Social Robotics","","1875-4805","10.1007/s12369-021-00781-x","https://doi.org/10.1007/s12369-021-00781-x","This trial represents the final stage of the CARESSES project which aimed to develop and evaluate a culturally competent artificial intelligent system embedded into social robots to support older adult wellbeing. A parallel group, single-blind randomised controlled trial was conducted across older adult care homes in England and Japan. Participants randomly allocated to the Experimental Group or Control Group 1 received a Pepper robot for up 18 h across 2 weeks. Two versions of the CARESSES artificial intelligence were tested: a fully culturally competent system (Experimental Group) and a more limited version (Control Group 1). Control Group 2 (Care As Usual) participants did not receive a robot. Quantitative outcomes of interest reported in the current paper were health-related quality of life (SF-36), loneliness (ULS-8), and perceptions of robotic cultural competence (CCATool-Robotics). Thirty-three residents completed all procedures. The difference in SF-36 Emotional Wellbeing scores between Experimental Group and Care As Usual participants over time was significant (F[1] = 6.614, sig = .019, ηp2 = .258), as was the comparison between Any Robot used and Care As Usual (F[1] = 5.128, sig = .031, ηp2 = .146). There were no significant changes in SF-36 physical health subscales. ULS-8 loneliness scores slightly improved among Experimental and Control Group 1 participants compared to Care As Usual participants, but this was not significant. This study brings new evidence which cautiously supports the value of culturally competent socially assistive robots in improving the psychological wellbeing of older adults residing in care settings.","2022-01-01","2024-04-17 09:05:51","2024-05-04 14:59:30","2024-04-17 09:05:51","245-256","","1","14","","Int J of Soc Robotics","The CARESSES Randomised Controlled Trial","","","","","","","en","","","","","Springer Link","","","","/Users/isabel/Zotero/storage/VF5P24SE/Papadopoulos et al. - 2022 - The CARESSES Randomised Controlled Trial Explorin.pdf","","included","Older adults; Mental health; Socially assistive robots; CARESSES; Cultural competence; Experimental trial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H77GD6BK","journalArticle","2024","Rettinger, L.; Fürst, A.; Kupka-Klepsch, E.; Mühlhauser, K.; Haslinger-Baumann, E.; Werner, F.","Observing the Interaction between a Socially-Assistive Robot and Residents in a Nursing Home","International Journal of Social Robotics","","1875-4791","10.1007/s12369-023-01088-9","","Due to demographic change and transformations in domestic structures as well as working environments, the need for formal care continues to increase. This process leads to a significantly greater number of care workers that will be needed in the future. Concurrently, the demands on caregivers concerning the amount of care and quality of care are increasing. Socially-assistive robots (SARs) are a promising resource in this regard. At the same time, research that directly addresses the target group of elderly persons with cognitive impairments is underrepresented. This study reports observations regarding the interaction between a SAR and elderly people with cognitive impairments. Seven observational and behavioural measures were conducted during the interaction between residents of a nursing home and the SAR named “James”. Twelve participants from two residential homes took part in the study. Data were analysed by using content analysis and interpreted along a technology acceptance model. Verbal comments and observable emotions of the SAR were predominantly positive, only a few participants reacted negatively to the SAR “James”. There was also hardly any shyness to touch the robot. The participants made eye contact and responded adequately to the robot’s requests. Tasks which were set by the SAR in group settings led to a higher communication between the participants than tasks in single-user settings. The mainly upbeat emotions and interaction with the SAR indicates a positive attitude towards the system. Long-term studies are needed to investigate the sustainability of robot acceptance. © The Author(s) 2023.","2024","2024-04-17 09:08:31","2024-05-01 13:23:27","","403-413","","2","16","","","","","","","","","","English","","","Scopus","","Scopus","","","<div data-schema-version=""8""><p>imbalanced data (10 women 2 men)</p> <p>nursing staff approached residents specifically</p> <p></p> </div>","/Users/isabel/Zotero/storage/ZYVYDMH2/Rettinger et al. - 2024 - Observing the Interaction between a Socially-Assis.pdf; /Users/isabel/Zotero/storage/RS8MX6XT/display.html","","read; included","Dementia; Technology acceptance; Elderly with mild cognitive impairments; Human–robot-interaction; Socially-assistive robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YYDJFWP7","journalArticle","2020","Tateno, S.; Meng, F.; Qian, R.; Hachiya, Y.","Privacy-preserved fall detection method with three-dimensional convolutional neural network using low-resolution infrared array sensor","Sensors (Switzerland)","","1424-8220","10.3390/s20205957","","Due to the rapid aging of the population in recent years, the number of elderly people in hospitals and nursing homes is increasing, which results in a shortage of staff. Therefore, the situation of elderly citizens requires real-time attention, especially when dangerous situations such as falls occur. If staff cannot find and deal with them promptly, it might become a serious problem. For such a situation, many kinds of human motion detection systems have been in development, many of which are based on portable devices attached to a user’s body or external sensing devices such as cameras. However, portable devices can be inconvenient for users, while optical cameras are affected by lighting conditions and face privacy issues. In this study, a human motion detection system using a low-resolution infrared array sensor was developed to protect the safety and privacy of people who need to be cared for in hospitals and nursing homes. The proposed system can overcome the above limitations and have a wide range of application. The system can detect eight kinds of motions, of which falling is the most dangerous, by using a three-dimensional convolutional neural network. As a result of experiments of 16 participants and cross-validations of fall detection, the proposed method could achieve 98.8% and 94.9% of accuracy and F1-measure, respectively. They were 1% and 3.6% higher than those of a long short-term memory network, and show feasibility of real-time practical application. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","2020","2024-04-17 09:09:37","2024-05-04 13:29:42","","1-22","","20","20","","","","","","","","","","English","","","Scopus","","Scopus","","","<p>Cited By :22</p>","/Users/isabel/Zotero/storage/HH5Y7XXI/Tateno et al. - 2020 - Privacy-preserved fall detection method with three.pdf; /Users/isabel/Zotero/storage/JNAS8RCP/display.html","","read; included","Falling; Human motion detection; Infrared array sensor; Privacy protection; Threedimensional convolutional neural network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFKQUW22","journalArticle","2022","Sarwar, T.; Jimeno Yepes, A.J.; Zhang, X.; Chan, J.; Hudson, I.; Evans, S.; Cavedon, L.","Development and validation of retrospective electronic frailty index using operational data of aged care homes","BMC Geriatrics","","1471-2318","10.1186/s12877-022-03616-0","","Background: Although elderly population is generally frail, it is important to closely monitor their health deterioration to improve the care and support in residential aged care homes (RACs). Currently, the best identification approach is through time-consuming regular geriatric assessments. This study aimed to develop and validate a retrospective electronic frailty index (reFI) to track the health status of people staying at RACs using the daily routine operational data records. Methods: We have access to patient records from the Royal Freemasons Benevolent Institution RACs (Australia) over the age of 65, spanning 2010 to 2021. The reFI was developed using the cumulative deficit frailty model whose value was calculated as the ratio of number of present frailty deficits to the total possible frailty indicators (32). Frailty categories were defined using population quartiles. 1, 3 and 5-year mortality were used for validation. Survival analysis was performed using Kaplan-Meier estimate. Hazard ratios (HRs) were estimated using Cox regression analyses and the association was assessed using receiver operating characteristic (ROC) curves. Results: Two thousand five hundred eighty-eight residents were assessed, with an average length of stay of 1.2 ± 2.2 years. The RAC cohort was generally frail with an average reFI of 0.21 ± 0.11. According to the Kaplan-Meier estimate, survival varied significantly across different frailty categories (p < 0.01). The estimated hazard ratios (HRs) were 1.12 (95% CI 1.09–1.15), 1.11 (95% CI 1.07–1.14), and 1.1 (95% CI 1.04–1.17) at 1, 3 and 5 years. The ROC analysis of the reFI for mortality outcome showed an area under the curve (AUC) of ≥0.60 for 1, 3 and 5-year mortality. Conclusion: A novel reFI was developed using the routine data recorded at RACs. reFI can identify changes in the frailty index over time for elderly people, that could potentially help in creating personalised care plans for addressing their health deterioration. © 2022, The Author(s).","2022","2024-04-17 09:13:25","2024-05-03 10:07:40","","","","1","22","","","","","","","","","","English","","","Scopus","","Scopus","","","<div data-schema-version=""8""><p>existing work has used a combination of progress notes, observation charts and assessment forms</p> </div>","/Users/isabel/Zotero/storage/K9UIHHGW/Sarwar et al. - 2022 - Development and validation of retrospective electr.pdf; /Users/isabel/Zotero/storage/D68X7M5J/display.html","","read; included","Electronic health records; Mortality; Frail elderly; Frailty index; Aged care homes; Health deterioration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
